Block Hash: b8865d9b8a34825578f05fa46d20b7a4ff31ca5e31d7f155bf2a0f200a4eea4a
Previous Hash: 4992480d26cdbe5d24901835635f0063c3d7ce50fedc6f936417dfdc5da7d5a5
Merkle Root: 2f70a74b121d28c741994d0b70a6f9d0685dd4b354964cbd84796466c92b6de5
Random Number: 569443049
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Alice sends $31 to Bob
- David sends $39 to Charlie
- Emily sends $34 to Charlie
- Charlie sends $42 to David
- Bob sends $14 to Alice
- Charlie sends $41 to David
- Emily sends $43 to Charlie
- Bob sends $22 to Alice
- Bob sends $27 to Alice
- David sends $14 to Emily
==================================================
