Block Hash: 39afbb2fbde59556964ca3a1b2fa9f2c12830ee84e08b284d58d831d9a4e11bc
Previous Hash: 4220f1a21e87d87a67235ee198c4234360e88d825efacfc6e1c940c71394339f
Merkle Root: 560007592f846b9be279ef34e6594e5229794187d8dad42d1b61b2cdde5dfd80
Random Number: 304229441
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- David sends $16 to Charlie
- Charlie sends $27 to Alice
- Emily sends $20 to Bob
- Charlie sends $32 to Bob
- Bob sends $38 to Alice
- Charlie sends $18 to Bob
- Charlie sends $10 to Bob
- Bob sends $14 to David
- Alice sends $25 to Bob
- Alice sends $11 to David
==================================================
