Block Hash: 230fac4b7413b22d234bef88e7f99a8aeed0c3ba29893eb24e3161b4e4a211b7
Previous Hash: 21b998ad42d56e2103ff6f47342fe23fdeb0c5358b8ed45e40c0f6ee87039678
Merkle Root: 380df142a472ed11e848122dfb41c05db9fb5bd5aadf07fd7cf1573613dd3f81
Random Number: 464619546
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Charlie sends $25 to Emily
- Alice sends $22 to Bob
- David sends $18 to Alice
- Bob sends $49 to Alice
- Alice sends $19 to David
- Alice sends $16 to Bob
- Bob sends $20 to Charlie
- Alice sends $50 to David
- Alice sends $18 to Charlie
- David sends $49 to Charlie
==================================================
