Block Hash: 98c7b3480e7088fd4508813a0b282775cdbd382dd84556c1440e2c2ea016fb1b
Previous Hash: e11f8610c8c17981d82a65d0a53d034dcfdc9213b4440c287df23e3536cfc1b8
Merkle Root: b768fc001081cd175974fff7889f8cdf50b68df65df80e105df0b89123039766
Random Number: 990781357
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $17 to David
- Bob sends $13 to Emily
- Charlie sends $18 to Emily
- Bob sends $40 to Charlie
- Bob sends $36 to Alice
- David sends $47 to Charlie
- David sends $41 to Bob
- David sends $20 to Alice
- Bob sends $21 to Alice
- Alice sends $23 to Bob
==================================================
