Block Hash: 99cb0397158988800bf88ac2c92e4242cc9ac024264a68f61b453c4188fea1c6
Previous Hash: 4b9fca9da69526e9df023d4959e2b6d34ded4f546ac0fc821b94d123fd9a8c46
Merkle Root: 358e7e1f41acd3fa94e403a3cca73499878844aea356107b814142568f030526
Random Number: 830764271
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- David sends $17 to Bob
- Alice sends $13 to David
- Alice sends $41 to Charlie
- Bob sends $31 to Emily
- Charlie sends $49 to David
- Emily sends $33 to David
- Emily sends $15 to Alice
- Bob sends $23 to David
- Charlie sends $16 to David
- Emily sends $27 to Alice
==================================================
