Block Hash: 2013b2871954707b9656c7784f787dbeeb179e6bd4eac268e7ac1505f946fda1
Previous Hash: d195a4224676b6dae0aafab4e055ace4ca519610bcbe951d7e92db45d2717722
Merkle Root: 4f6a94b9f9a375079889fc89fe6a2b9dd7cddd5b14906f74da3f37e0a9358350
Random Number: 910598712
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- Charlie sends $35 to Bob
- Alice sends $26 to Emily
- Bob sends $11 to Alice
- Emily sends $38 to David
- David sends $23 to Alice
- Bob sends $25 to Alice
- David sends $25 to Charlie
- David sends $35 to Alice
- Bob sends $33 to Alice
- Alice sends $37 to David
==================================================
