Block Hash: e43b38e5b1b5dc57d9efd66d47be52d81809249aa097e9649a0bef1619491f78
Previous Hash: eb8b50247ecb0f3b730ff5fce0fc715d65da629897743e602036ee205a5228eb
Merkle Root: 715b327866ba45a8a2b54d2c5333c8decc5650d7f230c31f6f1d60e53330edfa
Random Number: 565150051
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- Bob sends $18 to David
- David sends $33 to Bob
- David sends $17 to Charlie
- David sends $37 to Alice
- David sends $35 to Emily
- Alice sends $31 to Charlie
- Alice sends $40 to Emily
- Emily sends $29 to Bob
- Charlie sends $33 to Emily
- Emily sends $48 to Alice
==================================================
