Block Hash: 2e23ab8b53f4422c7b9909e3220cf0b49f6dee9a2f58dd40ea7ee527bf65b0ae
Previous Hash: 03c048d3c3a27fd4d35b1c989bdac03fa3b3e32e76c3cd103bb98ea781c26c5e
Merkle Root: 082fcab16fa7b67d3ef08882a30febba82fd1401161b2f87c17d0c642f555bbf
Random Number: 216142230
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Bob sends $28 to David
- David sends $15 to Emily
- Alice sends $13 to Bob
- Emily sends $46 to Bob
- David sends $33 to Bob
- Charlie sends $19 to Bob
- David sends $14 to Bob
- David sends $32 to Emily
- David sends $14 to Alice
- David sends $33 to Bob
==================================================
