Block Hash: 4a0c7859b42aaa53832b1f03ed30afb9ff4ccde89efeb99dc7639ce53a5c2f43
Previous Hash: 2843dc114777260d2cb3bb0428b896d2fb4838fb59a45bb8f834499c4c9e37a7
Merkle Root: 13623627271cf468ddf5cfb9e5d995cf8b312e3b9196e2283a0b91c8581cb7a4
Random Number: 831992249
Forward Hash: 0
Timestamp: 2023-11-17 11:12:29
Transactions:
- Bob sends $24 to David
- Charlie sends $34 to Alice
- Emily sends $15 to Bob
- Alice sends $24 to Bob
- David sends $24 to Charlie
- David sends $28 to Alice
- David sends $25 to Alice
- David sends $44 to Bob
- Alice sends $47 to Bob
- Alice sends $50 to Charlie
==================================================
