Block Hash: 646d9a8c1e0c2840e9af061a5ba8b4cfb7620ceea5b023b82b28c0cc21517941
Previous Hash: 0b46248ce96724d03be237497cf5315181c0d1b2f471cac688894f64e6ce6b21
Merkle Root: b74f62eac3acdacda2e98e91e9ccee812c8075904bdd2dc36198cdf854078217
Random Number: 997129216
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Charlie sends $50 to Alice
- Bob sends $45 to Emily
- David sends $17 to Charlie
- David sends $10 to Emily
- Emily sends $14 to Charlie
- David sends $11 to Charlie
- Bob sends $38 to Charlie
- David sends $25 to Bob
- David sends $43 to Bob
- Bob sends $37 to Emily
==================================================
