Block Hash: 58fa3c8c7fada0d402c53964e0ddc56f8d50e80d1abf6703a25d624b1b04ff41
Previous Hash: 3807d1e0230b837773d3ccac9db995d3d0a89edc96df00fe9c6a70c49fedee00
Merkle Root: 71b927b89651b8ecd334de17521967f960deb2a16fefdab73c17896a888e0456
Random Number: 295167879
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Alice sends $34 to Emily
- David sends $15 to Bob
- Emily sends $23 to Charlie
- Emily sends $21 to David
- David sends $24 to Bob
- Charlie sends $45 to David
- Emily sends $20 to Alice
- David sends $36 to Alice
- Emily sends $44 to Bob
- Bob sends $32 to Charlie
==================================================
