Block Hash: 0e2560ac140fd9c9d3c173d2f0428ff0e9d426a53eb578632312247513cb3cc9
Previous Hash: 2bd8f3efa411ac7e9a8220b7aca2d9fe98a3e0231c0068666f3a1724126878b9
Merkle Root: 96c30feb3be10d3a0bab8789f4e378600ede17f17d81153c71d20cdb2f4c2af2
Random Number: 494926771
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Charlie sends $37 to Bob
- David sends $14 to Emily
- Alice sends $16 to Charlie
- David sends $30 to Emily
- Alice sends $48 to David
- Bob sends $20 to David
- Bob sends $36 to Charlie
- David sends $10 to Charlie
- Bob sends $38 to Charlie
- David sends $14 to Alice
==================================================
