Block Hash: 7103983330ee010e7c371abf640c4eb761f856d6d92f378e3100c3976310ec4b
Previous Hash: d8a71c8848cc55cb7e4a544cec2cad19f927f6985fac66dd816d8115ca1bc6bb
Merkle Root: 3cdd42d85f22be9dff866f0a82974d68c05399dda769eb2af32a01f7b4c88b66
Random Number: 963301385
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- David sends $10 to Charlie
- Charlie sends $37 to Bob
- Emily sends $30 to Alice
- Bob sends $30 to Alice
- Charlie sends $48 to Alice
- Emily sends $21 to Bob
- Charlie sends $12 to Alice
- Alice sends $40 to Bob
- Alice sends $27 to David
- Alice sends $50 to Emily
==================================================
