Block Hash: 52e42a201a9caee0f353050414d755b4fef6d90b067856b8d9308326850a2838
Previous Hash: a435b5bd14e022855c9087922281756ba606000774fef9ce6a7c43cc41c58637
Merkle Root: 4332f5e7b94ae12cf016694b7d8d909965109a00915b520e467e9159020f55ca
Random Number: 360284917
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- David sends $10 to Emily
- Alice sends $20 to Charlie
- Alice sends $37 to David
- Charlie sends $35 to Bob
- Emily sends $10 to Charlie
- Emily sends $44 to Bob
- Bob sends $33 to Charlie
- Alice sends $14 to Bob
- Charlie sends $15 to Bob
- Emily sends $21 to David
==================================================
