Block Hash: d0fc059fadad1fb17b6dfb1d8d41740bd437b23a6e91290358890aed28945961
Previous Hash: 1c75d6f89436920e0c99fc6f1e32be13033010d9f9baf8e7599b071394ebd656
Merkle Root: b3f25a78d4d591df29b50ddfa3a1c0f50016d947214757f817cd3001adcd27a3
Random Number: 180514949
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Emily sends $44 to Bob
- Bob sends $26 to Alice
- Alice sends $23 to David
- Charlie sends $35 to David
- Alice sends $36 to David
- David sends $13 to Emily
- Alice sends $43 to David
- Bob sends $27 to Charlie
- Bob sends $24 to Charlie
- Alice sends $41 to Charlie
==================================================
