Block Hash: 89f6da9bda44aa59dc2285a51fccc1a9581ee55ed6f32550c5747fd13452f139
Previous Hash: 3dec10f03f428ff3f66d7a0ee574b39b392c74fb8ff829dca8f54980f6f82861
Merkle Root: deb2a5f8e4906610b98eb7aa5e59a87e6296fe68c1059cc9c7d5c89e98c11ec4
Random Number: 675525872
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- Emily sends $32 to Charlie
- Alice sends $23 to Emily
- Charlie sends $33 to David
- Charlie sends $40 to David
- Charlie sends $25 to David
- Bob sends $18 to Alice
- Bob sends $20 to David
- David sends $11 to Bob
- Charlie sends $45 to Alice
- Alice sends $30 to Bob
==================================================
