Block Hash: fa3f5218b4504c4b097956f3ae63eb4d78367c44ba48f68fd19ce2620700ee94
Previous Hash: c3fac9c1d4472aad34e1e55cc649eac2b2c71178faf1bdd417ae2432544add0e
Merkle Root: b24331f75ed4fdc2e5f254989e58b2e23662549ddeaf3c22f6d3610ddd971867
Random Number: 229342479
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Bob sends $37 to Alice
- David sends $16 to Bob
- Charlie sends $41 to Bob
- David sends $25 to Emily
- Alice sends $40 to Charlie
- Alice sends $22 to Emily
- David sends $25 to Bob
- David sends $47 to Charlie
- Charlie sends $39 to Emily
- David sends $45 to Charlie
==================================================
