Block Hash: fc1bde4cdae8d8ad89a01216901c939499420e72a3bb0d2f88c47ff91a707e5e
Previous Hash: b0156f03d4cac262ca916b6d8215ce5a0432595223130efdd4cb6666fee15fdb
Merkle Root: 17788390d258062492cbf04b2528a9bd207a214de2f74f05baddd467d6f9e95e
Random Number: 828578396
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- Alice sends $28 to Emily
- David sends $39 to Charlie
- Bob sends $40 to Alice
- David sends $34 to Charlie
- Charlie sends $34 to Bob
- Charlie sends $15 to Bob
- Emily sends $25 to David
- Emily sends $50 to David
- Charlie sends $29 to David
- Emily sends $35 to Bob
==================================================
