Block Hash: 1d15c85039ccee6146164243f5771ce0edf55636f908e75de9da55a5dc1b6e1c
Previous Hash: 83921a022726a83f0f7c30c604b7b4956c4022af275051e6eb3d8997ed3f5686
Merkle Root: da0a9356520776ddacde0891a2af25c460763983b1e33a99317736022d56cd6a
Random Number: 417242985
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Bob sends $12 to David
- Emily sends $49 to Bob
- Charlie sends $13 to Emily
- Emily sends $37 to Bob
- Alice sends $20 to Charlie
- Alice sends $19 to Charlie
- Emily sends $37 to Charlie
- Emily sends $37 to Charlie
- Charlie sends $36 to Alice
- Charlie sends $13 to Bob
==================================================
