Block Hash: 2884bc73b0f2658482dbebddb7aaa66af405d5c35086054f2648bb27f815a49e
Previous Hash: a7809e71b4a3c90565c767eb7ba1d4648555b35b1e850fc83d73327682028333
Merkle Root: 9bc6e08cd54eaca69cf01b95b3f4e554eb199afc9ef334912e1131fbc6d26b31
Random Number: 19150385
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- Emily sends $38 to Alice
- David sends $34 to Bob
- Charlie sends $50 to David
- Charlie sends $38 to Bob
- Bob sends $33 to Emily
- Alice sends $43 to Charlie
- David sends $11 to Emily
- David sends $40 to Charlie
- David sends $39 to Bob
- Alice sends $19 to Emily
==================================================
