Block Hash: de9921191714204b168c2204c903898cbe20b49577f24127e43a925bf8f9f465
Previous Hash: c663366e2434c339918c7d7915df7f1450b53d85b2941e33598e890efa149a01
Merkle Root: ae719ae5d6f42fe1b2f90944ac9114ce502013a95b3c311407d2b0c362273bef
Random Number: 642567087
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Alice sends $27 to Emily
- Charlie sends $48 to Alice
- David sends $50 to Alice
- Bob sends $10 to Alice
- Bob sends $28 to David
- Emily sends $15 to Charlie
- Charlie sends $29 to David
- David sends $44 to Charlie
- David sends $20 to Charlie
- David sends $49 to Bob
==================================================
