Block Hash: bfbdc26adf3e1f27b500c70b0733c195eaeb70e8f84ad5203d48cc1ca8fe79d9
Previous Hash: 97b0617dbcbbb9e0224851548efe513b8b979ece0fb3af97e749b4f1f185df35
Merkle Root: 3be40ea32bb6c8808d2cf99b118a1cb2268d8fc00edfba953f438afa4afd42a9
Random Number: 392416749
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Alice sends $28 to David
- Emily sends $19 to Bob
- Charlie sends $49 to Alice
- Emily sends $32 to Charlie
- Bob sends $42 to Emily
- Charlie sends $13 to Bob
- Emily sends $46 to Bob
- Charlie sends $40 to Alice
- Emily sends $27 to Alice
- Charlie sends $24 to Emily
==================================================
