Block Hash: 5dd16b1f9a870f76ff3ff2340d108d316d5ccf93c3c40d24053032bf2207ccad
Previous Hash: b1e9c6c7297525a3f1250d319b2077f81507fb40ea5782d542483cb002b77888
Merkle Root: af19f21d011b076de51885a4dfdffc8f5ee616564a994cd316580359c03da660
Random Number: 340965179
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Emily sends $25 to Bob
- David sends $41 to Emily
- Bob sends $15 to Alice
- Charlie sends $22 to David
- David sends $50 to Charlie
- David sends $35 to Charlie
- Bob sends $47 to Emily
- Bob sends $50 to David
- David sends $10 to Charlie
- Alice sends $27 to Emily
==================================================
