Block Hash: 1945222088c81a8f53d3e3741ec7774e918be76fadce7d6def1426a71ccd557f
Previous Hash: 833cc67b06b0e05fae463905d164440ba6c50e41de7815c96ad4195d215ec8ab
Merkle Root: 658e4ac333fe18ab13d2a2623360a0605048fa7ea719d1611972d58f4bd23e1b
Random Number: 706756576
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Alice sends $18 to Bob
- Bob sends $40 to Emily
- Charlie sends $47 to David
- Emily sends $28 to Charlie
- Emily sends $42 to Alice
- Bob sends $32 to Emily
- David sends $40 to Emily
- Charlie sends $22 to Emily
- Charlie sends $34 to Emily
- Emily sends $26 to Charlie
==================================================
