Block Hash: 08645d7fe49110b999815c09c838c518dfaccb5f48bef728913112d5dc7d9635
Previous Hash: 6dce8fe0369e09776c2bca0aa0bcc70a2f019ddbbac70f4c9b04898dfcf583cf
Merkle Root: 2b497c688a5799021a4e3a4fb710c431e3ebbbc0203b6a4b3a9dec4ee9a543e1
Random Number: 717052796
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Charlie sends $32 to Emily
- Bob sends $25 to David
- Bob sends $39 to Charlie
- Emily sends $30 to Charlie
- Alice sends $35 to Bob
- Bob sends $35 to Alice
- Alice sends $39 to Bob
- Alice sends $23 to David
- Alice sends $11 to David
- Alice sends $48 to David
==================================================
