Block Hash: 810b36a0cb84b266feec5738cd7360195c3e5131dd905389c906f0ee66d654c8
Previous Hash: 1631a6fdc10bf0accae3ae244dcd17e4d46bf7ef04320feb6ac52f627786c953
Merkle Root: a3c93dc412373bcf86944a584a1d35cb4c9d6385e0575ada7f3e0922840f3698
Random Number: 594916422
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Charlie sends $45 to Emily
- Emily sends $26 to Alice
- Alice sends $50 to Bob
- David sends $19 to Alice
- David sends $10 to Bob
- Alice sends $19 to Charlie
- Bob sends $45 to Alice
- David sends $44 to Alice
- David sends $43 to Charlie
- Bob sends $15 to David
==================================================
