Block Hash: f59dbeef8080bcdca20c2611f6771bd34e06ed98fd3d25c549087d7110bbc024
Previous Hash: 871c3a6734a7f7999466a493452835280671ac57f0ad8a31e8785c4235080310
Merkle Root: aa4d9d2998059f0bc8626188c91ab0792f40214c30f77dafb76a1606a0520a7f
Random Number: 110135166
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Emily sends $49 to Bob
- Charlie sends $17 to David
- Alice sends $16 to Charlie
- Bob sends $27 to Charlie
- Bob sends $43 to Alice
- David sends $27 to Charlie
- Bob sends $15 to Alice
- David sends $50 to Emily
- Alice sends $11 to Charlie
- Bob sends $14 to Charlie
==================================================
