Block Hash: 0641f6b8d78bae7eecc414d8d661e69a21d947b4b61d9cb425c829a54235182a
Previous Hash: 0b3b0e15b95f845300b5f1d06f8552cec1f5f1bf8be010523295f3253a29ddd5
Merkle Root: d135651339389b50b5def01ca40971246dacdd3ce31dd887da613bab3b97018a
Random Number: 347178474
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Charlie sends $31 to Bob
- David sends $28 to Emily
- Bob sends $17 to Charlie
- David sends $15 to Charlie
- Emily sends $48 to David
- David sends $32 to Charlie
- David sends $40 to Emily
- Bob sends $10 to David
- Alice sends $23 to Charlie
- Bob sends $40 to David
==================================================
