Block Hash: 321470898ce23d696d983acb4ebdf0ef7bf509b7cfb3c590c829b186742b9c96
Previous Hash: 8d57dfad31b2ddd40f9c770cb844a5b1189f2e0fe1a098768e17179ae4daf631
Merkle Root: a1dd4b7c582fcdf84b434b2c6e3eaddba7da7b220654c458a9d6364ccea98d13
Random Number: 238891496
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Emily sends $40 to David
- Bob sends $21 to Charlie
- David sends $42 to Alice
- Alice sends $12 to Emily
- Charlie sends $39 to Alice
- David sends $33 to Charlie
- Alice sends $23 to Emily
- Alice sends $29 to Emily
- Charlie sends $17 to Alice
- Alice sends $12 to Emily
==================================================
