Block Hash: 0053f68a82c9766caa257cce5ab5f70b38b6969447edd51460cf0245625b0727
Previous Hash: d913dd624c06acff5096502d29322db53c0ce0bd2aa9b69229d6e0690ef0b686
Merkle Root: 525c3b774d11386312bec79b49b77fe01d5f2e57a03ecbd3e663efd391acac21
Random Number: 420840799
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- David sends $31 to Bob
- Alice sends $44 to Charlie
- Emily sends $11 to Charlie
- Bob sends $23 to Alice
- Emily sends $12 to Alice
- Alice sends $47 to David
- Bob sends $46 to Emily
- Bob sends $25 to David
- Bob sends $42 to Emily
- Charlie sends $47 to Alice
==================================================
