Block Hash: 240efbad36611271b62f63116815bff1a6d42232dd733a29cfd26c4abb67e292
Previous Hash: d9f1e3bfa4c6135451138146fe4423fa749bab263b8b1361e5ace38b61e76da6
Merkle Root: afca4e4321191184f00c10dd8019ff0c8ca82439881dfd58aa7c222385177c04
Random Number: 820084080
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Emily sends $32 to Bob
- Bob sends $20 to Charlie
- Bob sends $14 to Emily
- David sends $31 to Alice
- David sends $49 to Emily
- David sends $48 to Emily
- Charlie sends $17 to Alice
- Charlie sends $35 to David
- Charlie sends $45 to Emily
- David sends $48 to Emily
==================================================
