Block Hash: 63baa03447d54a2a73e9a5a1f69009d629d96ffd1e87f3d314cb06c0abca8094
Previous Hash: 69289fc051d664da5b7caba84f6eed38dabf9e56e5092744008c05db2c12ef21
Merkle Root: dbf2b3de53caf8e5cc3fafee68996f10617d1b83512acf7228f5b0a84096c192
Random Number: 235442247
Forward Hash: 0
Timestamp: 2023-11-17 11:12:36
Transactions:
- Bob sends $28 to Emily
- Alice sends $48 to Charlie
- David sends $34 to Bob
- Alice sends $21 to David
- Alice sends $44 to David
- Alice sends $44 to Bob
- Emily sends $17 to Charlie
- Charlie sends $12 to Alice
- Emily sends $32 to Bob
- Emily sends $43 to Charlie
==================================================
