Block Hash: 71786848ae189244a58060cb5f15a8365c8726f02d1c3341484743ccf0d42af8
Previous Hash: 1840b2033eb2912e3e48657df29ab17be22155faf4defae8a30e4f3d1d35a587
Merkle Root: 56aadef801009ef059ac5fb4dc672f527d5f7e18086a81239f4194752bda2436
Random Number: 323582511
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Charlie sends $23 to Emily
- Alice sends $38 to Charlie
- David sends $20 to Alice
- Alice sends $15 to Charlie
- Alice sends $40 to David
- David sends $30 to Bob
- Alice sends $20 to Charlie
- Emily sends $34 to Charlie
- Bob sends $34 to Charlie
- Alice sends $50 to David
==================================================
