Block Hash: 0e4bd6e4179d8bfa8e482416a334787fa91f9e06e1309644eb630c09d5ceef2c
Previous Hash: 4ffb37ba30f2ce9ca0b010ae18bca090fd1537516f5b732d4d1b076b9f2b7a80
Merkle Root: da6d29943dc20229a062abc301045ce321a506ccf4673abc3c7f8d54050360d2
Random Number: 702215375
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $19 to Bob
- Bob sends $31 to Charlie
- Charlie sends $13 to Emily
- Charlie sends $14 to David
- Alice sends $15 to Emily
- Charlie sends $12 to Alice
- Emily sends $28 to Charlie
- Bob sends $14 to Charlie
- Bob sends $13 to David
- Alice sends $39 to Charlie
==================================================
