Block Hash: 662f5f84d81eadc8482fa38ed7afb87068e6d97bff2d91c4e2119247b6b6ae78
Previous Hash: 3ddf6de1fb91b430e040a5a9313db41cf6800d993cf67999e7133f160a7b54fb
Merkle Root: ed12cdfad44280e129880b665a1f80790d6ec131feea6073a6dfc35814870b80
Random Number: 259679115
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Charlie sends $46 to David
- David sends $18 to Charlie
- Alice sends $39 to Emily
- Emily sends $38 to Charlie
- Emily sends $19 to Bob
- Alice sends $41 to Charlie
- David sends $18 to Emily
- David sends $47 to Alice
- David sends $27 to Emily
- Emily sends $24 to Charlie
==================================================
