Block Hash: 5d6319986c77475e432dca5331f96b24d6ba5b40f0057b3d448bf4bf53121759
Previous Hash: 1a4b9b0924ec7a1afc28f6671452eae23417fd5c1a0c15c526db77d6ae51bf20
Merkle Root: 214553a958bd82081bb8d9a4b568a40d1995495f23cd83c5e58a3ff809a01091
Random Number: 365208398
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- David sends $32 to Alice
- Alice sends $23 to Charlie
- Alice sends $29 to David
- Alice sends $38 to Emily
- Charlie sends $38 to Emily
- Alice sends $30 to Charlie
- Emily sends $14 to Bob
- Charlie sends $44 to David
- Charlie sends $25 to Bob
- Emily sends $14 to Bob
==================================================
