Block Hash: bb990f5ada4a3766939bdea1dfab1b1c92151530af33f94f7a1c0ef0c77b2fcd
Previous Hash: d09cbf5d724b6789ac423b362606f2ccc3a38508d8884853f766d4d649acc83a
Merkle Root: c2b1a9f581016e81829307627cba3e4d9668f33ccb2df62097bb719167e5a26e
Random Number: 380008504
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- David sends $45 to Charlie
- Bob sends $30 to David
- Bob sends $14 to Alice
- Charlie sends $29 to Alice
- Bob sends $42 to Emily
- Alice sends $39 to David
- Bob sends $10 to Alice
- Bob sends $30 to David
- Alice sends $50 to David
- Alice sends $40 to Bob
==================================================
