Block Hash: 3f99e330d9296532919c64aa1ff80fb6866f294f0eb39f7a5677f388214d7efb
Previous Hash: 40cb0a3cb95b442bf5993038ce3d13ce89e261cc8c031635e35891178e7d1173
Merkle Root: a541ac31fcff056e4706d172b0afc998867526c4899357e69ac63e71ac273b5e
Random Number: 923197196
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Emily sends $47 to Alice
- David sends $23 to Emily
- Alice sends $26 to Charlie
- Bob sends $37 to David
- Alice sends $24 to Charlie
- Alice sends $13 to Emily
- Alice sends $24 to Charlie
- Alice sends $39 to Bob
- Charlie sends $24 to David
- Bob sends $19 to David
==================================================
