Block Hash: b8cd0d3c029528e887709913f580983194b24c6fe5de2df0b6a61928ad6e1682
Previous Hash: da06b699d1b094bcfa32e5364b481649837a31b9e209b7134d2004eb78bfe659
Merkle Root: 9de14c5bacbe5703daa9a22f56a69d8dd7cdd36eebece459ef0592564869c4eb
Random Number: 17336311
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $32 to Bob
- Alice sends $24 to Emily
- Charlie sends $25 to Alice
- Bob sends $33 to Emily
- Bob sends $23 to Charlie
- Bob sends $29 to Alice
- Alice sends $29 to Emily
- Bob sends $42 to Emily
- Bob sends $13 to David
- Emily sends $41 to David
==================================================
