Block Hash: 028f4176e36ec78674d8e4faa2cd8f8f4c86a5db53d7ee8df3268edd13042eb0
Previous Hash: e3e6f996042e29fefe380e0f3b287fa913cfc33f19a90d448b449f51a16d6544
Merkle Root: 51eef219cb36fb1a033b854530e9659841764fc5446928db372643fe5916ff5f
Random Number: 598783178
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Emily sends $36 to David
- David sends $19 to Charlie
- Bob sends $41 to Alice
- Alice sends $35 to Bob
- David sends $19 to Bob
- Bob sends $32 to Emily
- Bob sends $25 to Charlie
- Bob sends $12 to Charlie
- Bob sends $17 to Charlie
- Bob sends $20 to Alice
==================================================
