Block Hash: 47e776104a0276b72ac2bb2240fe2aba16ddd6f67213c1cf7526143bcbefcd86
Previous Hash: 3dfe3529fefa5b19188f113d8398e83ab0579274e62b62bf8e4a038c0414d2ec
Merkle Root: 3d68f4181f64cbbae2e0ccc65d12016958f9798f4f6a54a6407b062a22aa0900
Random Number: 971660315
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- David sends $37 to Charlie
- Charlie sends $31 to Alice
- Charlie sends $13 to Emily
- Charlie sends $24 to Alice
- Alice sends $37 to David
- Emily sends $41 to Alice
- Charlie sends $29 to Alice
- Bob sends $40 to David
- Bob sends $47 to David
- Emily sends $48 to Alice
==================================================
