Block Hash: d0b66cc16c9612950a33ed707b7e3a518d049929069834c0aa10ad92b0ff6133
Previous Hash: 317fd6cc7ece4aec3293818f709c6a2b27e3b7da69b80d64b220b5f803b445d6
Merkle Root: 4a7b4f922892772609de9d23dc8d911b92dc74403edafce833dce387c30f52c1
Random Number: 735442667
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Emily sends $12 to David
- Charlie sends $34 to Bob
- Charlie sends $32 to Bob
- David sends $33 to Charlie
- Alice sends $27 to Emily
- Bob sends $15 to Charlie
- David sends $26 to Charlie
- David sends $42 to Charlie
- Alice sends $30 to Bob
- Alice sends $48 to Charlie
==================================================
