Block Hash: 482acaf2071630420bf4a09f54b7803e940f62706bb7b1fb8cfa13605933584b
Previous Hash: 42300f536bf9ff19a56c0d16efb16d231d94b5d9e2b0fa3ad06f9441705230c3
Merkle Root: b686431ecab9f7db9a5c97041b501c4122e247e79bb591a8e97fcd5fc2945dad
Random Number: 701919519
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Bob sends $39 to David
- Charlie sends $26 to Emily
- David sends $16 to Emily
- Emily sends $49 to Alice
- Emily sends $24 to Alice
- Emily sends $17 to Charlie
- David sends $39 to Emily
- Alice sends $35 to Bob
- Alice sends $43 to Bob
- Emily sends $29 to Alice
==================================================
