Block Hash: f4db7bbf5b9bef20f6e8d5b46065a70781bf13655ce382c5e9384f698a86971e
Previous Hash: 0240a2cef4cb9e721b23c632a7e34892a61ea27f860cc8a8eec63d7453e365ea
Merkle Root: 615c4144b057d759ffbf540eaaeef7c7cb19babd7db925762345aa59dcd4a34e
Random Number: 549194417
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $25 to Emily
- Bob sends $18 to Alice
- Alice sends $18 to Charlie
- Emily sends $39 to David
- Charlie sends $43 to Alice
- Emily sends $33 to David
- Emily sends $32 to Alice
- Alice sends $37 to David
- Charlie sends $22 to David
- Emily sends $25 to Alice
==================================================
