Block Hash: 6dc4a2907e1c9348f8d7c25c3691656961e1daf41d9f4c454c540a48f1613764
Previous Hash: 2b79faf9590c612d074bb51a0f6238874bfb9230415fde9e56c08a5a98ac064d
Merkle Root: 0821faae141b78405ef31175a3aa8540eeac85c1977c8bbd27af2c698dbbf7d2
Random Number: 687847922
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Bob sends $16 to Emily
- David sends $14 to Bob
- Alice sends $42 to David
- Alice sends $27 to David
- Emily sends $29 to Charlie
- David sends $49 to Bob
- David sends $11 to Alice
- David sends $20 to Charlie
- Charlie sends $18 to David
- Charlie sends $14 to David
==================================================
