Block Hash: e16fc19bf90cc52e70f181204a78c72d3a04f451ae256fc8754a0eadc6dd1325
Previous Hash: aa1c6af5f60682914c4d44899ceafd73f6d98fcafb35e2a6c335cb28a605a6d8
Merkle Root: 9d9e5c3d49646aefc7001517541f12bc267106ea4f2a799f7b9321c0a2d7c79d
Random Number: 928707291
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- David sends $26 to Bob
- Bob sends $48 to Emily
- Charlie sends $18 to Emily
- Bob sends $41 to Emily
- Bob sends $21 to Charlie
- Alice sends $48 to Emily
- Bob sends $45 to Emily
- Bob sends $34 to David
- Charlie sends $27 to Emily
- Alice sends $38 to Emily
==================================================
