Block Hash: fdf5172843a27313dc488931acc6eb2907db9e9c6a79ec2962938f39d484b3eb
Previous Hash: 435b4dbe3175dcbd076b8462a17661c409c5ac0644852a642cfa74761529e6d7
Merkle Root: 3d289e399dbb470ef9ce4dcb9a6c74fa13e94f0935e21f3cda6050f005b4f604
Random Number: 62595502
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Charlie sends $15 to Bob
- Emily sends $33 to Alice
- David sends $24 to Alice
- Emily sends $31 to David
- Emily sends $25 to Alice
- Alice sends $15 to David
- Alice sends $37 to Emily
- David sends $48 to Alice
- Bob sends $33 to David
- Emily sends $44 to Charlie
==================================================
