Block Hash: b6ff66e6b6d6390792a09f15c27d1b6aaf8468c47f993895648926605f9db6d8
Previous Hash: 90223e40dd4da4f5aab5a14697c92cbdb3fb86675094d39aaf83f3bf78162c50
Merkle Root: 201443c6d86f0d516ffe5a43b39cb2e30912a22e470eef974724c5fa61b0701f
Random Number: 994705449
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Emily sends $39 to David
- Bob sends $35 to Alice
- Bob sends $19 to Emily
- Charlie sends $39 to Emily
- David sends $18 to Emily
- Charlie sends $46 to Bob
- David sends $50 to Emily
- Charlie sends $35 to Emily
- David sends $45 to Alice
- Charlie sends $38 to Bob
==================================================
