Block Hash: 21e2c0b6a0cf41038c4ea6b6a079180326eae8eb67ac16e2e52dea4e59658d09
Previous Hash: 02daed9e70149346bb52b0fa941cec55bd356c4a5660395b14b081ee637dd3a3
Merkle Root: 987266fb5757284d60b79006d09e6baaad123cec11dfa396b361e97c311f248f
Random Number: 270136677
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Emily sends $30 to Bob
- Alice sends $45 to David
- Charlie sends $28 to Alice
- David sends $39 to Emily
- Alice sends $37 to Charlie
- Alice sends $25 to Emily
- Alice sends $49 to Emily
- Bob sends $20 to Emily
- Charlie sends $16 to Emily
- Alice sends $35 to Emily
==================================================
