Block Hash: 8b57cc87f646685286956b749e3d9fe227b5421f5f844034e1ad3f78ce364072
Previous Hash: 14d90a2f1e93961eeeec50bc573123415e1c5bc8245929886b294384a8810220
Merkle Root: 00c04ed7b553d0b2301a29a3c7b5e069dd69c08a956f645acaa7b1610e213288
Random Number: 689576978
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- David sends $36 to Emily
- Emily sends $11 to Charlie
- Emily sends $18 to Charlie
- Bob sends $23 to Alice
- Bob sends $40 to Alice
- Emily sends $49 to David
- Emily sends $44 to Charlie
- Charlie sends $16 to David
- Alice sends $25 to Bob
- Bob sends $40 to David
==================================================
