Block Hash: 669298391f3ce8aa2c18787a73337729784b09338838aea3938f8c341b6abbe6
Previous Hash: 5c986b509d48a7d51817a2542f117d747cd328b5f635599e683aff6857f5df5c
Merkle Root: 36d22b96fb225ea5fcaf0316fa909e161436797e1445629e059953599b00d4b0
Random Number: 624381394
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Charlie sends $20 to David
- Alice sends $42 to Bob
- David sends $18 to Charlie
- Emily sends $45 to Bob
- Bob sends $33 to Charlie
- Emily sends $37 to Alice
- Alice sends $32 to Emily
- Alice sends $13 to Charlie
- David sends $32 to Emily
- Bob sends $39 to Emily
==================================================
