Block Hash: aacf751ac41811b80cb036d4b57c357674a264a7b02a11309fb49bd94072c279
Previous Hash: ec9209d505c7880e40ea588ddfd06f485c55d09c7eab92e9a385e9ffd14efd67
Merkle Root: 97b2d426f80d942864f497acfc6e6178a727571ddec801f7bed0849a7507b809
Random Number: 242212362
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- David sends $26 to Bob
- Charlie sends $38 to Emily
- Bob sends $18 to Charlie
- Alice sends $24 to Charlie
- Bob sends $39 to Emily
- Charlie sends $48 to David
- Alice sends $40 to Emily
- Bob sends $45 to David
- Charlie sends $23 to Alice
- Emily sends $23 to David
==================================================
