Block Hash: 4bfd025a896f36599185fa27e0fb948a79e747bd94f5e661b240d7f26caccee4
Previous Hash: 318b2ef154b6748e8cb1cd750d94add11786976f9397aed54de61c937d9abfa0
Merkle Root: 0db159393316e891ac0a70ac0f17f088aa14ae4be49e7192302e5908b4d9971f
Random Number: 130842578
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $43 to David
- Charlie sends $46 to Alice
- Alice sends $23 to Charlie
- Charlie sends $44 to Alice
- David sends $18 to Charlie
- David sends $10 to Emily
- Alice sends $40 to Charlie
- David sends $14 to Emily
- Emily sends $15 to Charlie
- David sends $47 to Charlie
==================================================
