Block Hash: 5c6c32d369bf1c197b5f336d242f09785f5d293a905f727bbcb3bb8a72837c8b
Previous Hash: 79b8e655b84543cf81a45dff65e8e09c4a3ff87d3a149089d4894dd209699a1a
Merkle Root: eb54b9410f2ec67b7cb17dee56107ada4e1f5ea5e0ff2390a7ccba6d138b5910
Random Number: 554763598
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Emily sends $32 to Charlie
- Bob sends $43 to Emily
- Bob sends $45 to Emily
- Bob sends $48 to Alice
- Alice sends $43 to Emily
- Alice sends $21 to David
- Charlie sends $44 to David
- David sends $40 to Emily
- Charlie sends $47 to Bob
- Charlie sends $48 to Bob
==================================================
