Block Hash: ce8afbf9948feb0142db02897bd999fd6024c974b197c361223341835a91bdb6
Previous Hash: 84728f048e00d0dca7f2cdc4f86af187800c41f76deba97d7a78c82d9a1280d9
Merkle Root: 1105c40b3382c1abe97d8bfbdfdde08d108379985e869c8eaee96ba794a6b533
Random Number: 221213528
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- Charlie sends $27 to David
- Emily sends $29 to Bob
- David sends $29 to Charlie
- Bob sends $23 to Alice
- David sends $17 to Bob
- David sends $40 to Alice
- David sends $32 to Emily
- Alice sends $13 to Charlie
- Bob sends $37 to Alice
- David sends $49 to Charlie
==================================================
