Block Hash: accfc8bf12366eac30d78573a3501ccb7891ef6c2f3ff6b182d18d362d0509b2
Previous Hash: 240f52851876535e4e0d3e04ff255336d164ca6554d9182187ccce15b2b52447
Merkle Root: ede9eb74c8b20cfcc8177a924ed7d239b84d7d54d255c3af392836304899feea
Random Number: 803536330
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Emily sends $48 to Charlie
- Bob sends $24 to Emily
- Alice sends $46 to Emily
- Charlie sends $11 to Emily
- Charlie sends $31 to Bob
- David sends $15 to Bob
- Alice sends $46 to Bob
- David sends $48 to Emily
- Bob sends $41 to Emily
- David sends $41 to Alice
==================================================
