Block Hash: 5437c058a9ce892b4110d74fb214a4b13f824cb5d66cbea7001468abd677730d
Previous Hash: fcf3f529dca882e0ffa2ddf7495aea5e8162e75b7eca22e86b677a37615846bc
Merkle Root: 30ee6cbb57271036bd10b4305a4a8f80070eeb9daf10eb82006e55e56d159531
Random Number: 457001909
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- Alice sends $47 to Bob
- Bob sends $48 to Emily
- Bob sends $28 to Charlie
- Bob sends $16 to Emily
- Emily sends $49 to David
- Bob sends $17 to Alice
- David sends $30 to Charlie
- Bob sends $24 to Charlie
- David sends $33 to Emily
- Bob sends $40 to Emily
==================================================
