Block Hash: 3a41840f6e95c8ebbfab2b9bc13e8990f6b794f6ae397a7c7216515fbe4a83a1
Previous Hash: b11e1b5598e9cde1aef928ee701b66741a32da3c7c5ff52a34d283226ae62973
Merkle Root: 2e871fd9122bd597d732c4edb0727dbe3565d6e3bc64e29e3b9fd51521079e31
Random Number: 563282321
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Emily sends $47 to Charlie
- Alice sends $40 to David
- Bob sends $22 to Alice
- David sends $40 to Bob
- Bob sends $38 to Emily
- David sends $50 to Alice
- Charlie sends $11 to Alice
- Alice sends $49 to Emily
- Bob sends $38 to David
- Alice sends $13 to David
==================================================
