Block Hash: 74a43df660f14cbbfb4e08a82f2dbb8cf9656096c6d6b950dbc056cfb5dde645
Previous Hash: 431042f2b5522653474ba2d125531ddf43b74d5b62307b5cf8a4ba8ece2db767
Merkle Root: 98d2f329a29febaa0202240b6156e09b1ab6a523f1b7f2d2f1a2ae85fdaeaa1e
Random Number: 731845817
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Emily sends $13 to David
- Bob sends $24 to Alice
- David sends $21 to Charlie
- David sends $41 to Bob
- Charlie sends $19 to Alice
- Charlie sends $45 to Bob
- Charlie sends $32 to Alice
- David sends $27 to Bob
- Charlie sends $21 to Emily
- Charlie sends $10 to Bob
==================================================
