Block Hash: d58aaa204142a44f197027d968d3f5e8f56aa1e4c33d10a43b4515f161498524
Previous Hash: 680ec84a901dea955761fbdbad8eb1b1c8087360e77f05b79b6ed9249bad29b1
Merkle Root: 802b4151dad9d58e168d224e9aa1aee4ce11bb8ea37d4fe94fab05f8c84e2e78
Random Number: 375491114
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Alice sends $48 to Charlie
- Emily sends $26 to Bob
- Charlie sends $26 to Emily
- Charlie sends $48 to David
- Charlie sends $18 to Emily
- Bob sends $16 to Alice
- Charlie sends $41 to David
- Emily sends $38 to Bob
- Bob sends $34 to Alice
- Charlie sends $29 to David
==================================================
