Block Hash: 8a6f353ef4efc09669d1ab4945e67096cb9db7ec58b662f331e1be1a4900f5c6
Previous Hash: ede75071856f944830b178f6b8c2290257b8e75be70af2b48450c7e0a4f1e391
Merkle Root: 2e6c173ed01a19f1c649ae7570ebc0beecab7cf7149df6d93b2e20ebe643f88b
Random Number: 209711430
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Bob sends $48 to David
- Alice sends $19 to Emily
- David sends $34 to Charlie
- Alice sends $25 to Bob
- Alice sends $23 to Emily
- Alice sends $28 to Bob
- David sends $48 to Alice
- Emily sends $16 to Alice
- David sends $48 to Alice
- Emily sends $50 to Alice
==================================================
