Block Hash: 2f490a9a442f7bd545c66f7a85e6430c26fffad99ad9f86e8361cc52bcb2a32b
Previous Hash: 8ce671cd6079415ef16414ffa6a3e8eb7833bafb63a436dd746d2351219713bb
Merkle Root: 29297358212056ae5ffc345638d38beffc7c764f8dbda99e9266a27fe1e9f8cd
Random Number: 369608151
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Alice sends $23 to Emily
- Emily sends $32 to Bob
- David sends $43 to Alice
- Emily sends $10 to Bob
- David sends $19 to Alice
- Charlie sends $12 to Bob
- David sends $17 to Charlie
- David sends $26 to Charlie
- Charlie sends $26 to David
- Bob sends $32 to Alice
==================================================
