Block Hash: 25b65a0909b73b7983062149d1223c512b4044bfbbf5de0c5f4b78c5b277b0cf
Previous Hash: a27c4086424bd288a4f2d247583e7376bbdff6d13a7cbf09202fdd646100841b
Merkle Root: 989fedc95f825e253984435ac1448e0e0709c13530f0927726f94975abc5ebac
Random Number: 589542846
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $21 to David
- Alice sends $19 to Emily
- Alice sends $47 to Bob
- Bob sends $26 to Charlie
- Bob sends $13 to Alice
- Alice sends $45 to Charlie
- David sends $18 to Charlie
- Charlie sends $45 to Bob
- David sends $40 to Emily
- Charlie sends $31 to Alice
==================================================
