Block Hash: 4d6cbea28d38bde74f1dd947d73de4b8e56f2201b15d90d8749c0a51d8c2ad5b
Previous Hash: ab7bdbe69f2d1e2966af14b481d57d73155cb5cb76cbceb676fe81cab66b2f30
Merkle Root: 56085c6c1502ee044b80507217c8583ec54ba241386003ed62bd58605ad02763
Random Number: 160600161
Forward Hash: 0
Timestamp: 2023-11-17 11:12:35
Transactions:
- Emily sends $10 to Bob
- Bob sends $47 to Alice
- Charlie sends $10 to David
- Bob sends $32 to Emily
- Charlie sends $14 to Alice
- Bob sends $35 to David
- Bob sends $20 to David
- Bob sends $20 to Alice
- Bob sends $15 to Charlie
- David sends $35 to Alice
==================================================
